Sunday, 21-07-18 22:05:01, 78.474, 78.474, 78.473, 44.465, 974.6159707760296, off, 0
Sunday, 21-07-18 22:05:16, 78.473, 78.473, 78.473, 43.778, 974.6159707760296, off, 0
Sunday, 21-07-18 22:05:29, 78.512, 78.512, 78.518, 44.451, 974.5428588427183, off, 0
Sunday, 21-07-18 22:05:44, 78.556, 78.556, 78.563, 43.978, 974.5532814506831, off, 0
Sunday, 21-07-18 22:05:56, 78.570, 78.570, 78.572, 43.805, 974.5330875153834, off, 0
Sunday, 21-07-18 22:06:09, 78.595, 78.595, 78.599, 45.444, 974.6117456793786, off, 0
Sunday, 21-07-18 22:06:17, 78.606, 78.606, 78.608, 46.199, 974.5915511384915, off, 0
Sunday, 21-07-18 22:06:30, 78.522, 78.522, 78.509, 45.434, 974.5073586186982, off, 0
Sunday, 21-07-18 22:06:43, 78.448, 78.448, 78.437, 44.888, 974.5853518703811, off, 0
Sunday, 21-07-18 22:06:56, 78.392, 78.392, 78.383, 44.600, 974.6229537770387, off, 0
Sunday, 21-07-18 22:07:11, 78.267, 78.267, 78.249, 44.682, 974.5916477199421, off, 0
Sunday, 21-07-18 22:07:21, 78.125, 78.125, 78.105, 44.942, 974.5805072216765, off, 0
Sunday, 21-07-18 22:07:31, 78.013, 78.013, 77.997, 45.171, 974.5721369960344, off, 0
Sunday, 21-07-18 22:07:39, 77.936, 77.936, 77.926, 45.133, 974.6222134876509, off, 0
Sunday, 21-07-18 22:07:48, 77.824, 77.824, 77.809, 45.037, 974.5783301941856, off, 0
Sunday, 21-07-18 22:07:58, 77.685, 77.685, 77.665, 45.068, 974.5392923641034, off, 0
Sunday, 21-07-18 22:08:05, 77.589, 77.589, 77.576, 45.259, 974.6018332617552, off, 0
Sunday, 21-07-18 22:08:17, 77.522, 77.522, 77.513, 45.222, 974.5760459704522, off, 0
Sunday, 21-07-18 22:08:23, 77.435, 77.435, 77.423, 45.178, 974.5551003454977, off, 0
Sunday, 21-07-18 22:08:32, 77.377, 77.377, 77.369, 45.370, 974.5926023164637, off, 0
Sunday, 21-07-18 22:08:42, 77.235, 77.235, 77.217, 45.255, 974.5736546366533, off, 0
Sunday, 21-07-18 22:08:53, 77.124, 77.124, 77.109, 45.366, 974.5373619280995, off, 0
Sunday, 21-07-18 22:08:57, 77.087, 77.087, 77.082, 45.376, 974.5978149755298, off, 0
Sunday, 21-07-18 22:09:03, 77.027, 77.027, 77.019, 45.384, 974.5441915617374, off, 0
Sunday, 21-07-18 22:09:16, 76.933, 76.933, 76.920, 45.473, 974.5711562789494, off, 0
Sunday, 21-07-18 22:09:30, 76.874, 76.874, 76.866, 45.475, 974.6086073143047, off, 0
Sunday, 21-07-18 22:09:35, 76.827, 76.827, 76.822, 45.518, 974.5702997248482, off, 0
Sunday, 21-07-18 22:09:44, 76.806, 76.806, 76.804, 45.422, 974.5271728145127, off, 0
Sunday, 21-07-18 22:09:49, 76.788, 76.788, 76.786, 45.454, 974.539654093468, off, 0
Sunday, 21-07-18 22:09:59, 76.690, 76.690, 76.678, 45.281, 974.5867241442808, off, 0
Sunday, 21-07-18 22:10:10, 76.615, 76.615, 76.606, 45.405, 974.6088248387267, off, 0
